UF,MUNICIPIO,BAIRRO,ENDERAG,CEP_,LATITUDE2,LONGITUD2,Base Referencia,lat_lng,Agencia,Lat,Long,cluster
MG,SANTANA PIRAPAMA,CENTRO,R SAO JOSE 160,35785-000,-18.996838,-44.053089,Belo Horizonte,"(-19.007046, -44.0416138)",5557,-19.007046,-44.0416138,0
MG,FELISBURGO,CENTRO,PCA JOSE D P COELHO 13,39895-000,-16.640435,-40.772844,Belo Horizonte,"(-16.6390622, -40.7624728)",5559,-16.6390622,-40.7624728,2
MG,ITAIPE,CENTRO,R CEL PEDRO MENDES 3,39815-000,-17.402469,-41.672170,Belo Horizonte,"(-17.4016788, -41.6693305)",5564,-17.4016788,-41.6693305,2
MG,NOVA UNIAO,CENTRO,P PE JOAO HABIAN 232,34990-000,-19.689953,-43.579660,Belo Horizonte,"(-19.6874806, -43.583051)",5578,-19.6874806,-43.583051,0
MG,S JOAO MANTENINHA,CENTRO,AV JOAO GOMES VIEIRA 28,35277-000,-18.720758,-41.159624,Belo Horizonte,"(-18.7232438, -41.1607818)",5599,-18.7232438,-41.1607818,2
MG,CONTAGEM,CID INDUSTRIAL,P ANTONIO M GUIMARAES222,32210-170,-19.956518,-44.025967,Belo Horizonte,"(-19.8396119, -44.1517096)",5605,-19.8396119,-44.1517096,0
MG,BELO HORIZONTE,VENDA NOVA,R PE PEDRO PINTO 825,31510-000,-19.815613,-43.957263,Belo Horizonte,"(-19.8157365, -43.9576415)",5612,-19.8157365,-43.9576415,0
MG,CONTAGEM,CENTRO,R JOAO CAMARGOS 56,32040-620,-19.917636,-44.079842,Belo Horizonte,"(-19.9019558, -44.0794429)",5636,-19.9019558,-44.0794429,0
MG,MONTES CLAROS,CENTRO,R DR SANTOS 49,39400-000,"     .      ","     .      ",Belo Horizonte,"(-16.7238953, -43.8651953)",4613,-16.7238953,-43.8651953,2
MG,CRUZEIRO DA FORTAL,CENTRO,AV N SRA DE FATIMA 1361,38735-000,-18.945999,-46.674000,Uberaba,"(-18.946948, -46.673326)",5705,-18.946948,-46.673326,1
MG,ENTRE FOLHAS,CENTRO,R JOAQUIM CAMPOS 72,35324-000,-19.625614,-42.231606,Belo Horizonte,"(-19.6269115, -42.2310221)",5706,-19.6269115,-42.2310221,2
MG,RIO DO PRADO,CENTRO,R PACIFICO RODRIGUES 251,39940-000,-16.595775,-40.554290,Belo Horizonte,"(-16.6098832, -40.5696228)",5731,-16.6098832,-40.5696228,2
MG,SAO JOSE DO DIVINO,CENTRO,PCA CEL ANTONIO LOPES 25,39848-000,-18.471288,-41.386702,Belo Horizonte,"(-18.4818079, -41.3897786)",5753,-18.4818079,-41.3897786,2
MG,TAQUARACU DE MINAS,CENTRO,PCA CEL JOSE DE MELO 55,33980-000,-19.667885,-43.689156,Belo Horizonte,"(-19.6677404, -43.6889694)",5777,-19.6677404,-43.6889694,0
MG,UBERLANDIA,SARAIVA,AV JOAO NAVES AVILA 2420,38408-100,-18.920221,-48.262528,Uberaba,"(-18.9199861, -48.2625469)",5784,-18.9199861,-48.2625469,1
MG,GOV VALADARES,S PAULO,AVENIDA JK 1402,35030-210,-18.873275,-41.958598,Belo Horizonte,"(-18.8731596, -41.9586656)",5789,-18.8731596,-41.9586656,2
MG,TUMIRITINGA,CENTRO,AV AMAZONAS 844,35125-000,-18.978775,-41.640367,Belo Horizonte,"(-18.9787388, -41.6432267)",5795,-18.9787388,-41.6432267,2
MG,ITABIRA,ESPLAN ESTACAO,R SUZINHA SA MARTINS 40,35900-209,-19.630430,-43.226877,Belo Horizonte,"(-19.6300659, -43.22651)",5797,-19.6300659,-43.22651,0
MG,BELO HORIZONTE,CASTELO,RROMUALDO L CANÃ‡ADO88LJ1,30840-460,-19.891606,-43.996263,Belo Horizonte,"(-19.89157900212743, -43.99614501090133)",5807,-19.89157900212743,-43.99614501090133,0
MG,POCOS DE CALDAS,JD DOS ESTADOS,AV JOSE REMIGIOPREZIA693,37701-782,-21.785069,-46.549850,Uberaba,"(-21.7853997, -46.5619342)",5825,-21.7853997,-46.5619342,1
MG,JOAO PINHEIRO,CENTRO,R CAPITAO SPERIDIAO 571,38770-000,-17.744810,-46.172781,Uberaba,"(-17.7448888, -46.1726564)",5960,-17.7448888,-46.1726564,1
MG,UBERABA,SAO BENEDITO,AV DR FERNANDO COSTA 909,38022-300,-19.769077,-47.944595,Uberaba,"(-19.769367, -47.9444129)",6387,-19.769367,-47.9444129,1
MG,BELO HORIZONTE,RIO BRANCO,R AUGUSTO ANJOS 335E337,31535-000,-19.836931,-43.965554,Belo Horizonte,"(-19.8191453, -43.9812882)",6454,-19.8191453,-43.9812882,0
MG,BETIM,CENTRO,PCA TIRADENTES 97 LJ,32560-210,-19.967165,-44.199100,Belo Horizonte,"(-19.9670335, -44.1987707)",6505,-19.9670335,-44.1987707,0
MG,BELO HORIZONTE,JARAGUA,R IZABEL BUENO 775,31270-030,-19.862883,-43.950166,Belo Horizonte,"(-19.86295, -43.9502)",6506,-19.86295,-43.9502,0
MG,BELO HORIZONTE,BARREIRO,AV AFONSO VAZ DE MELO370,30640-070,-19.973279,-44.018328,Belo Horizonte,"(-19.976974, -44.0250875)",6519,-19.976974,-44.0250875,0
MG,RIBEIRAO DAS NEVES,CENTRO,R ANTONIO M CERQ NETO 23,33805-470,-19.766440,-44.088214,Belo Horizonte,"(-19.7665216, -44.087879)",6572,-19.7665216,-44.087879,0
MG,BELO HORIZONTE,ESTORIL,AV RAJA GABAGLIA 3760/90,30494-310,-19.962702,-43.956666,Belo Horizonte,"(-19.9653716, -43.95466750000001)",6590,-19.9653716,-43.95466750000001,0
MG,BELO HORIZONTE,PALMARES,R CEL JAIRO PEREIRA14/18,31160-560,-19.877448,-43.934227,Belo Horizonte,"(-19.9913533, -44.0198167)",6633,-19.9913533,-44.0198167,0
MG,JUIZ DE FORA,STA TEREZINHA,R AMERICO LOBO 991,36045-050,-21.743170,-43.353772,Belo Horizonte,"(-21.7430103, -43.3538664)",6699,-21.7430103,-43.3538664,0
MG,GOV VALADARES,VL ISA,R FRANCISCOC PIMENTEL459,35044-110,-18.882699,-41.947602,Belo Horizonte,"(-18.8558333, -41.95718979999999)",6803,-18.8558333,-41.95718979999999,2
MG,UBERABA,N SRA DA ABADIA,R SALDANHA MARINHO 330,38026-060,-19.760629,-47.924715,Uberaba,"(-19.7613076, -47.9249994)",6805,-19.7613076,-47.9249994,1
MG,BELO HORIZONTE,HORTO,AV SILVIANO BRANDAO 2061,31030-035,-19.910955,-43.917890,Belo Horizonte,"(-19.911317, -43.9190006)",6894,-19.911317,-43.9190006,0
MG,IPATINGA,CANAA,AV SELIM J DE SALES 695,35164-213,-19.455419,-42.554922,Belo Horizonte,"(-19.46319, -42.5592797)",6898,-19.46319,-42.5592797,2
MG,CONTAGEM,GLORIA,AV JOAO C OLIVEIRA 3481,32340-001,-19.938648,-44.056679,Belo Horizonte,"(-19.9387654, -44.0519298)",6938,-19.9387654,-44.0519298,0
MG,SABARA,VL NOVA VISTA,AV CONTAGEM 1500,34710-000,-19.882832,-43.907846,Belo Horizonte,"(-19.8835058, -43.9075468)",6943,-19.8835058,-43.9075468,0
MG,BELO HORIZONTE,MILIONARIOS,AV OLINTO MEIRELES 1500,30620-330,-19.986004,-44.009087,Belo Horizonte,"(-19.9843082, -44.0099996)",6960,-19.9843082,-44.0099996,0
MG,BELO HORIZONTE,VENDA NOVA,AV VILARINHO 1311,31615-250,-19.814499,-43.955461,Belo Horizonte,"(-19.816087, -43.9545931)",7176,-19.816087,-43.9545931,0
MG,JUIZ DE FORA,CENTRO,AV DOS ANDRADAS 359,36036-000,-21.753408,-43.352947,Belo Horizonte,"(-21.7531239, -43.3527795)",7178,-21.7531239,-43.3527795,0
MG,EXTREMA,CENTRO,AV BRASIL 165,37640-000,-22.853289,-46.317612,Uberaba,"(-22.8532902, -46.3179709)",7199,-22.8532902,-46.3179709,1
MG,RIBEIRAO DAS NEVES,CEREJEIRAS,AV DENISE C DA ROCHA 690,33900-000,"     .      ","     .      ",Belo Horizonte,"(-19.8006571, -44.0086715)",6401,-19.8006571,-44.0086715,0
MG,POUSO ALEGRE,ARISTEU C RIOS,AV PREF OLAVO G OLIV1860,37550-000,-22.272885,-45.922066,Belo Horizonte,"(-22.277493, -45.9187872)",7347,-22.277493,-45.9187872,1
MG,SETE LAGOAS,CANAA,AV RAQUEL T VIANA 582,35700-293,-19.466840,-44.254432,Belo Horizonte,"(-19.4666092, -44.2543627)",7349,-19.4666092,-44.2543627,0
MG,BELO HORIZONTE,GUARANI,R WALDOMIRO LOBO 580,31814-620,-19.844042,-43.924084,Belo Horizonte,"(-19.8438271, -43.92397440000001)",7364,-19.8438271,-43.92397440000001,0
MG,CONTAGEM,INCONFIDENTES,ROD BR 381 3399 LJ 1 2 3,32223-570,-19.959389,-44.033573,Belo Horizonte,"(-19.9576978, -44.09283629999999)",7369,-19.9576978,-44.09283629999999,0
MG,BELO HORIZONTE,CEU AZUL,R ANTONIO JOSE SANTOS541,31580-000,-19.823673,-43.996570,Belo Horizonte,"(-19.9480257, -44.0055638)",7414,-19.9480257,-44.0055638,0
MG,LAVRAS,CENTRO,R DR MELO VIANA 91,37200-000,-21.250589,-45.003648,Belo Horizonte,"(-21.2528676, -45.00324610000001)",7422,-21.2528676,-45.00324610000001,0
MG,CONTAGEM,NOVO RIACHO,R MANTIQUEIRA 575,32280-620,-19.946845,-44.062747,Belo Horizonte,"(-19.9384589, -44.0518344)",7443,-19.9384589,-44.0518344,0
MG,BELO HORIZONTE,PADRE EUSTAQUIO,R PARA DE MINAS 1177,30730-440,-19.914147,-43.989720,Belo Horizonte,"(-19.9139763, -43.9925697)",7453,-19.9139763,-43.9925697,0
MG,MONTES CLAROS,CENTRO,R CARLOS GOMES 76,39400-042,-16.731083,-43.870934,Belo Horizonte,"(-16.7216025, -43.8651207)",7566,-16.7216025,-43.8651207,2
MG,MONTES CLAROS,JD PALMEIRAS,AV DEP PLINIO RIBEIR2178,39402-194,-16.728080,-43.845092,Belo Horizonte,"(-16.7397702, -43.8462984)",7756,-16.7397702,-43.8462984,2
MG,CONTAGEM,RESSACA,R RODRIGUES DA CUNHA 728,32113-340,-19.884160,-44.029199,Belo Horizonte,"(-19.8843356, -44.0290946)",7771,-19.8843356,-44.0290946,0
MG,UBERLANDIA,DONA ZULMIRA,AV JOSE FONSECA SILVA 10,38414-016,-18.911701,-48.320164,Uberaba,"(-18.9127812, -48.3259774)",7783,-18.9127812,-48.3259774,1
MG,UBERLANDIA,SANTA ROSA,AV MONSENHOR EDUARDO2111,38401-239,-18.896509,-48.270301,Uberaba,"(-18.893096, -48.2751882)",7784,-18.893096,-48.2751882,1
MG,BELO HORIZONTE,PRADO,R PLATINA 939,30410-430,-19.921471,-43.966763,Belo Horizonte,"(-19.9215959, -43.9668135)",7892,-19.9215959,-43.9668135,0
MG,CONTAGEM,PETROLANDIA,R MATO GROSSO 415,32073-760,-19.931755,-44.110040,Belo Horizonte,"(-19.9311043, -44.1097511)",7893,-19.9311043,-44.1097511,0
MG,UBERLANDIA,JD BOTANICO,AV SEME SIMAO 1376,38410-675,-18.951458,-48.240570,Uberaba,"(-18.9515317, -48.2412577)",7916,-18.9515317,-48.2412577,1
MG,POCOS DE CALDAS,CENTRO,AV JOAO PINHEIRO 1130,37701-386,-21.785109,-46.583429,Uberaba,"(-21.7850327, -46.5838123)",7961,-21.7850327,-46.5838123,1
MG,BARBACENA,PONTILHAO,AV GOV BIAS FORTES 131,36204-168,-21.212447,-43.751265,Belo Horizonte,"(-21.2135084, -43.7661183)",7994,-21.2135084,-43.7661183,0
MG,BOTELHOS,CENTRO,AV MJOR A A FERNANDES120,37720-000,-21.641249,-46.395486,Uberaba,"(-21.6473355, -46.3953156)",8003,-21.6473355,-46.3953156,1
MG,CAMBUI,CENTRO,PÃ‡A CEL JUSTINIANO 52,37600-000,-22.612283,-46.057364,Uberaba,"(-22.6100267, -46.0576301)",8005,-22.6100267,-46.0576301,1
MG,MONTE SIAO,CENTRO,R PRES TANCREDO NEVES360,37580-000,-22.428070,-46.570879,Uberaba,"(-22.4300085, -46.5705567)",8015,-22.4300085,-46.5705567,1
MG,PARAISOPOLIS,CENTRO,R BUENO DE PAIVA578,37660-000,-22.548889,-45.780834,Belo Horizonte,"(-22.5527905, -45.7808085)",8029,-22.5527905,-45.7808085,1
MG,UBERLANDIA,CENTRO,PCA TUBAL VILELA 222,38400-088,-18.891527,-48.315811,Uberaba,"(-18.920958, -48.2775938)",7677,-18.920958,-48.2775938,1
MG,JUIZ DE FORA,CENTRO,AV BR RIO BRANCOSN L1875,36013-020,-21.758488,-43.350314,Belo Horizonte,"(-21.7582884, -43.3502455)",8192,-21.7582884,-43.3502455,0
MG,UBERABA,CENTRO,AVLEOPOLDINOOLIVEIRA3917,38010-000,-19.746464,-47.938140,Uberaba,"(-19.7468335, -47.9380408)",8276,-19.7468335,-47.9380408,1
MG,BELO HORIZONTE,CENTRO,PÃ‡A SETE DE SETEMBRO 700,30130-010,-19.919279,-43.938838,Belo Horizonte,"(-19.9191248, -43.9386291)",8295,-19.9191248,-43.9386291,0
MG,ARAXA,CENTRO,AV ANTONIO CARLOS 76,38183-083,-19.590136,-46.938962,Uberaba,"(-19.5916858, -46.9395731)",8481,-19.5916858,-46.9395731,1
MG,DIVINOPOLIS,CENTRO,RUA GOIAS 1311,35500-001,-20.143641,-44.897724,Belo Horizonte,"(-20.1439006, -44.89770650000001)",8568,-20.1439006,-44.89770650000001,0
MG,BELO HORIZONTE,SAO LUIZ,ALAMEDA DAS PRINCESAS 31,31275-180,-19.855335,-43.969204,Belo Horizonte,"(-19.8549076, -43.9689693)",8606,-19.8549076,-43.9689693,0
MG,ITABIRA,CENTRO,GUARDA MOR CUSTODIO 234,35900-003,-19.622438,-43.227417,Belo Horizonte,"(-19.6223309, -43.227266)",8627,-19.6223309,-43.227266,0
MG,ITAJUBA,CENTRO,PC WENCESLAU BRAZ 92,37500-038,-22.424995,-45.454059,Belo Horizonte,"(-22.4249691, -45.4541347)",8663,-22.4249691,-45.4541347,0
MG,BELO HORIZONTE,LOURDES,R MARILIA DE DIRCEU 116,30170-090,-19.933847,-43.945939,Belo Horizonte,"(-19.9339779, -43.9461096)",8696,-19.9339779,-43.9461096,0
MG,MANHUACU,BAIXADA,AV SALIME NACIF 130,36900-000,-20.251488,-42.031567,Belo Horizonte,"(-20.248054, -42.02954769999999)",8784,-20.248054,-42.02954769999999,0
MG,BELO HORIZONTE,CENTRO,R CURITIBA 987,30170-120,-19.926960,-43.952393,Belo Horizonte,"(-19.9215347, -43.9419519)",8610,-19.9215347,-43.9419519,0
MG,BELO HORIZONTE,VENDA NOVA,R PE PEDRO PINTO 6374,31660-000,-19.803568,-43.983486,Belo Horizonte,"(-19.802916, -43.9966075)",8820,-19.802916,-43.9966075,0
MG,SAO LOURENCO,CENTRO,AV DOM PEDRO II 322,37470-000,-22.115685,-45.052923,Belo Horizonte,"(-22.1156119, -45.0540167)",8871,-22.1156119,-45.0540167,0
MG,BETIM,CENTRO,AV AMAZONAS 756,32560-000,-19.966603,-44.199497,Belo Horizonte,"(-19.9666002, -44.1997495)",8895,-19.9666002,-44.1997495,0
MG,NOVA SERRANA,CENTRO,R SAO JOSE188E190LJ1E2,35519-000,-19.877446,-44.989979,Belo Horizonte,"(-19.8798783, -45.016228)",8943,-19.8798783,-45.016228,0
MG,POCOS DE CALDAS,CENTRO,R ASSIS FIGUEIREDO 1103,37701-000,-21.788125,-46.566234,Uberaba,"(-21.788224, -46.56609900000001)",9093,-21.788224,-46.56609900000001,1
MG,UBERLANDIA,CENTRO,AV AFONSO PENA 492,38400-128,-18.918578,-48.278031,Uberaba,"(-18.9192794, -48.2783392)",9278,-18.9192794,-48.2783392,1
MG,NOVA LIMA,VILA DA SERRA,AL OSCAR NIEMEYER 555LJB,34000-000,-19.979681,-43.943161,Belo Horizonte,"(-19.9792892, -43.9428034)",9699,-19.9792892,-43.9428034,0
MG,IPATINGA,IGUAÃ‡U,AV BRASIL 325 LJ 01,35162-082,-19.475498,-42.548351,Belo Horizonte,"(-19.4755826, -42.5481873)",9705,-19.4755826,-42.5481873,2
MG,BELO HORIZONTE,SERRA VERDE,"ROD. JOÃO PAULO II, 4001 ",,-19.783647,-43.952108,Belo Horizonte,"(-19.9495812, -44.001627)",9857,-19.9495812,-44.001627,0
MG,BELO HORIZONTE,FUNCIONARIOS,RUA PERNAMBUCO 1061,30130-151,-19.937299,-43.936306,Belo Horizonte,"(-19.9366749, -43.9348488)",7095,-19.9366749,-43.9348488,0
MG,BELO HORIZONTE,FUNCIONARIOS,RUA PERNAMBUCO 1061,30130-151,-19.936689,-43.935188,Belo Horizonte,"(-19.9366749, -43.9348488)",9191,-19.9366749,-43.9348488,0
MG,MONTES CLAROS,CENTRO,"R. CARLOS GOMES, 76",39400 - 042,-16.721.609,-43.865.116,Belo Horizonte,"(-16.7216025, -43.8651207)",1154,-16.7216025,-43.8651207,2
MG,MONTES CLAROS,CENTRO,"RUA CORONEL JOÃO CAMARGO,56","32040-620 ",-19.918.085,-44.079.325,Belo Horizonte,"(-19.917934994706883, -44.07970975100863)",1160,-19.91792928765243,-44.079720538107,0
MG,UBERLANDIA,CENTRO,PCA TUBAL VILELA 224,38400-186,-18.919704,-48.267101,Uberaba,"(-18.9208046, -48.2775976)",9693,-18.9208046,-48.2775976,1
MG,BELO HORIZONTE,CENTRO,"AV JOAO PINHEIRO, 141",30130-180,-19.927765,-43.936987,Belo Horizonte,"(-19.9265693, -43.9360929)",9726,-19.9265693,-43.9360929,0
MG,BELO HORIZONTE,SERRA,PC DA BANDEIRA 49,30130-050,-19.949104,-43.920376,Belo Horizonte,"(-19.94868, -43.9198)",3828,-19.94868,-43.9198,0
MG,BELO HORIZONTE,BELVEDERE,AV LUIS PAULO FRANCO 321,30320-570,-19.974169,-43.940063,Belo Horizonte,"(-19.9743775, -43.9399823)",3832,-19.9743775,-43.9399823,0
MG,BELO HORIZONTE,CENTRO,AV JOAO PINHEIRO 141,30130-180,-19.927765,-43.936987,Belo Horizonte,"(-19.9265693, -43.9360929)",3900,-19.9265693,-43.9360929,0
MG,BELO HORIZONTE,FUNCIONARIOS,AV BRASIL 1278,30140-001,-19.929464,-43.930893,Belo Horizonte,"(-19.9291568, -43.9311784)",4092,-19.9291568,-43.9311784,0
MG,UBERLANDIA,CENTRO,PCA TUBAL VILELA 224,38400-186,-18.920733,-48.277669,Uberaba,"(-18.9208046, -48.2775976)",5193,-18.9208046,-48.2775976,1
MG,UBERABA,ESTADOS UNIDOS,AV LEOPOLDINO OLIV 3379,38015-000,-19.748717,-47.935046,Uberaba,"(-19.750005, -47.9342275)",5400,-19.750005,-47.9342275,1
MG,BELO HORIZONTE,LOURDES,R FELIPE DOS SANTOS 27,30180-160,-19.935299,-43.942156,Belo Horizonte,"(-19.9355382, -43.9420849)",5639,-19.9355382,-43.9420849,0
MG,BELO HORIZONTE,SAO LUIZ,AV PRES ANT CARLOS 7900,31270-672,-19.851836,-43.962479,Belo Horizonte,"(-19.8515395, -43.9624959)",6662,-19.8515395,-43.9624959,0
MG,JUIZ DE FORA,CENTRO,AV BAR DO R BRANCO 2360,36016-310,-21.763239,-43.349636,Belo Horizonte,"(-21.7626953, -43.349568)",6980,-21.7626953,-43.349568,0
MG,BELO HORIZONTE,CENTRO,AV ALVARES CABRAL 370,30170-000,-19.926290,-43.938577,Belo Horizonte,"(-19.9260949, -43.9385887)",7006,-19.9260949,-43.9385887,0
MG,BELO HORIZONTE,LOURDES,R MARILIA DE DIRCEU 116,30170-090,-19.934044,-43.946281,Belo Horizonte,"(-19.9339779, -43.9461096)",7824,-19.9339779,-43.9461096,0
MG,BELO HORIZONTE,ESTORIL,AV PROF M WERNECK1460,30455-610,-19.970253,-43.964839,Belo Horizonte,"(-19.9541492, -43.9438489)",9387,-19.9541492,-43.9438489,0
MG,BELO HORIZONTE,FUNCIONARIOS,RUA PERNAMBUCO 1061,30130-151,-19.936689,-43.935188,Belo Horizonte,"(-19.9366749, -43.9348488)",9630,-19.9366749,-43.9348488,0
MG,NOVA LIMA,VILA DA SERRA,AL OSCAR NIEMEYER 555LJC,34000-000,-19.983662,-43.946247,Belo Horizonte,"(-19.9792892, -43.9428034)",9685,-19.9792892,-43.9428034,0
MG,BELO HORIZONTE,CRUZEIRO,AV AFONSO PENA 4102 LJ2,30130-009,-19.946111,-43.921970,Belo Horizonte,"(-19.9461096, -43.9221636)",9687,-19.9461096,-43.9221636,0
MG,BELO HORIZONTE,SAVASSI,AV CRIST COLOMBO 103,30140-140,#REF!,#REF!,Belo Horizonte,"(-19.9391373, -43.9351493)",925,-19.9391373,-43.9351493,0
MG,BELO HORIZONTE,CENTRO,AV DOM PEDRO II 2716,30710-010,#REF!,#REF!,Belo Horizonte,"(-19.9100201, -43.96671)",937,-19.9100201,-43.96671,0
MG,ARAXA,CENTRO,R PRES O MACIEL 38,38180-232,#REF!,#REF!,Uberaba,"(-19.591518, -46.939441)",944,-19.591518,-46.939441,1
MG,UBERABA,PQ DAS AMERICAS,AV JOAO XXIII 1326,38045-100,#REF!,#REF!,Uberaba,"(-19.7735853, -47.956266)",1101,-19.7735853,-47.956266,1
MG,GOVERNADOR VALADAR,CENTRO,AV MINAS GERAIS 275,20951-000,,,Belo Horizonte,"(-18.8568674, -41.9447198)",1157,-18.8568674,-41.9447198,2
MG,OURO PRETO,CENTRO,PC SILVIANO BRANDAO 49,35400-000,#REF!,#REF!,Belo Horizonte,"(-20.3855933, -43.507828)",1300,-20.3855933,-43.507828,0
MG,BETIM,CENTRO,R RIO DE JANEIRO 405,32510-030,#REF!,#REF!,Belo Horizonte,"(-19.9682315, -44.2002715)",1335,-19.9682315,-44.2002715,0
MG,JUIZ DE FORA,BENFICA,R MARTINS BARBOSA 37,36090-300,#REF!,#REF!,Belo Horizonte,"(-21.6882754, -43.434036)",1345,-21.6882754,-43.434036,0
MG,BELO HORIZONTE,ALIPIO DE MELO,AV ABILIO MACHADO 2197,30830-373,#REF!,#REF!,Belo Horizonte,"(-19.8986796, -44.0059463)",1382,-19.8986796,-44.0059463,0
MG,CONTAGEM,ELDORADO,AV JOAO C OLIVEIRA 1510,32310-000,#REF!,#REF!,Belo Horizonte,"(-19.9414891, -44.0420228)",1399,-19.9414891,-44.0420228,0
MG,BELO HORIZONTE,CENTRO,AV JOAO PINHEIRO 195,30130-180,#REF!,#REF!,Belo Horizonte,"(-19.92693, -43.9365)",1403,-19.92693,-43.9365,0
MG,CONS LAFAIETE,CENTRO,AV PREF T C RESENDE 246,36400-000,#REF!,#REF!,Belo Horizonte,"(-20.65888080001371, -43.79194777606628)",1429,-20.65888080001371,-43.79194777606628,0
MG,BELO HORIZONTE,CENTRO,R BAHIA 880,30160-011,#REF!,#REF!,Belo Horizonte,"(-19.9226973, -43.93709880000001)",1430,-19.9226973,-43.93709880000001,0
MG,FRUTAL,CENTRO,PCA DR ALCIDES P GOME 26,38200-000,#REF!,#REF!,Uberaba,"(-20.0263514, -48.9363617244)",1441,-20.0263514,-48.9363617244,1
MG,LAVRAS,CENTRO,PCA AUGUSTO SILVA 116,37200-000,#REF!,#REF!,Belo Horizonte,"(-21.2414065, -44.9993065)",1463,-21.2414065,-44.9993065,0
MG,MURIAE,CENTRO,R DR SILVEIRA BRUN 1,36880-000,#REF!,#REF!,Belo Horizonte,"(-21.1313924, -42.36379609999999)",1469,-21.1313924,-42.36379609999999,0
MG,OURO PRETO,CENTRO,R SAO JOSE 105,35400-000,#REF!,#REF!,Belo Horizonte,"(-20.3844946, -43.5069007)",1472,-20.3844946,-43.5069007,0
MG,PATROCINIO,CENTRO,R CEL JOAO C AGUIAR 357,38740-000,#REF!,#REF!,Uberaba,"(-18.944011124648483, -46.992107196187405)",1475,-18.944011124648483,-46.992107196187405,1
MG,PONTE NOVA,PALMEIRAS,AV DR FCO V MARTINS 639,35430-226,#REF!,#REF!,Belo Horizonte,"(-20.4091049, -42.8945074)",1481,-20.4091049,-42.8945074,0
MG,TRES CORACOES,CENTRO,PCA ODILON R ANDRADE 90,37410-000,#REF!,#REF!,Belo Horizonte,"(-21.6994707, -45.2561421)",1501,-21.6994707,-45.2561421,0
MG,TRES PONTAS,CENTRO,PCA CONEGO VITOR 165,37190-000,#REF!,#REF!,Belo Horizonte,"(-21.367776, -45.512231)",1503,-21.367776,-45.512231,0
MG,UNAI,CENTRO,R CELINA L FREDERICO 145,38610-000,#REF!,#REF!,Uberaba,"(-16.3597666, -46.902648)",1505,-16.3597666,-46.902648,1
MG,UBA,CENTRO,R SAO JOSE 304,36500-000,#REF!,#REF!,Belo Horizonte,"(-21.1182745, -42.9361761)",1558,-21.1182745,-42.9361761,0
MG,BELO HORIZONTE,FLORESTA,AV DO CONTORNO 1515,30110-070,#REF!,#REF!,Belo Horizonte,"(-19.9133039, -43.9295761)",1583,-19.9133039,-43.9295761,0
MG,UBERLANDIA,BRASIL,AV AFONSO PENA 2825,38400-708,#REF!,#REF!,Uberaba,"(-18.9007146, -48.2649777)",1611,-18.9007146,-48.2649777,1
MG,BELO HORIZONTE,BARREIRO,AV SINFRONIO BROCHADO 91,30640-000,#REF!,#REF!,Belo Horizonte,"(-19.9756, -44.01347)",1639,-19.9756,-44.01347,0
MG,BARBACENA,CENTRO,PCA DOS ANDRADAS 70/82,36200-008,#REF!,#REF!,Belo Horizonte,"(-21.2244856, -43.7734653)",1645,-21.2244856,-43.7734653,0
MG,BELO HORIZONTE,CENTRO,R RIO DE JANEIRO 471,30160-040,#REF!,#REF!,Belo Horizonte,"(-19.918638, -43.938369)",1674,-19.918638,-43.938369,0
MG,PATOS DE MINAS,CENTRO,R MAJOR GOTE 970,38702-054,,,Uberaba,"(-18.5918552, -46.5151338)",3376,-18.5918552,-46.5151338,1
MG,POUSO ALEGRE,FATIMA I,R TUANY TOLEDO 140,37550-000,#REF!,#REF!,Belo Horizonte,"(-22.22044261619724, -45.91995577758624)",5953,-22.22044261619724,-45.91995577758624,1
MG,BELO HORIZONTE,FUNCIONARIOS,AV BRASIL 1278,30140-001,#REF!,#REF!,Belo Horizonte,"(-19.9291568, -43.9311784)",7007,-19.9291568,-43.9311784,0
